datetime,open,high,low,close,volume
2006-07-18 09:00:00,14680,14715,14400,14400,22345
2006-07-19 09:00:00,14500,14650,14465,14560,20646
2006-07-20 09:00:00,14860,14975,14780,14975,17398
2006-07-21 09:00:00,14840,14875,14790,14820,14689
2006-07-24 09:00:00,14685,14870,14560,14775,22641
2006-07-25 09:00:00,15000,15100,14985,15045,16990
2006-07-26 09:00:00,15110,15125,14865,14870,19647
2006-07-27 09:00:00,14910,15240,14840,15205,25677
2006-07-28 09:00:00,15230,15380,15155,15350,26043
2006-07-31 09:00:00,15525,15550,15415,15415,20855
2006-08-01 09:00:00,15385,15540,15365,15435,25821
2006-08-02 09:00:00,15330,15490,15290,15470,24893
2006-08-03 09:00:00,15540,15590,15440,15520,25242
2006-08-04 09:00:00,15515,15565,15440,15485,22423
2006-08-07 09:00:00,15505,15525,15155,15195,28954
2006-08-08 09:00:00,15230,15490,15190,15435,29121
2006-08-09 09:00:00,15410,15685,15235,15685,39949
2006-08-10 09:00:00,15600,15700,15535,15585,33355
2006-08-11 09:00:00,15620,15680,15560,15605,23246
2006-08-14 09:00:00,15575,15895,15550,15835,28153
2006-08-15 09:00:00,15820,15930,15810,15860,25083
2006-08-16 09:00:00,16020,16100,15980,16070,26768
2006-08-17 09:00:00,16175,16215,16010,16045,25345
2006-08-18 09:00:00,16060,16180,16025,16145,27499
2006-08-21 09:00:00,16110,16150,15925,15995,28117
2006-08-22 09:00:00,16020,16255,16005,16185,28780
2006-08-23 09:00:00,16165,16235,16120,16175,27820
2006-08-24 09:00:00,16105,16110,15910,15945,35871
2006-08-25 09:00:00,15950,16175,15870,15975,43445
2006-08-28 09:00:00,15965,16015,15740,15755,34948
2006-08-29 09:00:00,15890,15950,15810,15915,24962
2006-08-30 09:00:00,15935,15975,15765,15905,35222
2006-08-31 09:00:00,15885,16235,15875,16165,46493
2006-09-01 09:00:00,16060,16170,16030,16135,31792
2006-09-04 09:00:00,16315,16425,16310,16365,26197
2006-09-05 09:00:00,16350,16410,16280,16405,31343
2006-09-06 09:00:00,16345,16400,16240,16290,27908
2006-09-07 09:00:00,16115,16140,15935,15965,28078
2006-09-08 09:00:00,15895,16130,15780,15980,41821
2006-09-11 09:00:00,16010,16020,15720,15765,40967
2006-09-12 09:00:00,15800,15850,15625,15650,49322
2006-09-13 09:00:00,15890,15925,15680,15740,38901
2006-09-14 09:00:00,15795,15970,15755,15905,41842
2006-09-15 09:00:00,15825,15870,15720,15855,36706
2006-09-19 09:00:00,15905,16065,15800,15830,42507
2006-09-20 09:00:00,15700,15720,15570,15660,46433
2006-09-21 09:00:00,15790,15825,15630,15785,43739
2006-09-22 09:00:00,15640,15700,15530,15565,46242
2006-09-25 09:00:00,15490,15650,15465,15590,38901
2006-09-26 09:00:00,15610,15685,15530,15585,37398
2006-09-27 09:00:00,15700,15955,15695,15950,50071
2006-09-28 09:00:00,15990,16060,15920,16055,39975
2006-09-29 09:00:00,16105,16140,16020,16105,33876
2006-10-02 09:00:00,16180,16350,16165,16295,55647
2006-10-03 09:00:00,16210,16280,16165,16255,44616
2006-10-04 09:00:00,16310,16385,16040,16110,84826
2006-10-05 09:00:00,16375,16510,16310,16470,69989
2006-10-06 09:00:00,16460,16480,16380,16475,65529
2006-10-10 09:00:00,16340,16640,16335,16510,88696
2006-10-11 09:00:00,16535,16625,16420,16425,87804
2006-10-12 09:00:00,16415,16530,16360,16365,76689
2006-10-13 09:00:00,16540,16615,16515,16570,71285
2006-10-16 09:00:00,16685,16740,16665,16715,54917
2006-10-17 09:00:00,16705,16710,16575,16630,70146
2006-10-18 09:00:00,16540,16700,16480,16690,91525
2006-10-19 09:00:00,16695,16700,16505,16525,75866
2006-10-20 09:00:00,16585,16675,16570,16630,66675
2006-10-23 09:00:00,16635,16820,16615,16775,81318
2006-10-24 09:00:00,16865,16920,16765,16800,79993
2006-10-25 09:00:00,16865,16870,16710,16710,64671
2006-10-26 09:00:00,16815,16880,16790,16835,67747
2006-10-27 09:00:00,16875,16905,16650,16695,92700
2006-10-30 09:00:00,16560,16560,16340,16385,67663
2006-10-31 09:00:00,16400,16495,16320,16355,71771
2006-11-01 09:00:00,16320,16460,16245,16395,72976
2006-11-02 09:00:00,16260,16360,16215,16360,75579
2006-11-06 09:00:00,16280,16410,16210,16385,60288
2006-11-07 09:00:00,16525,16545,16390,16430,55883
2006-11-08 09:00:00,16405,16440,16205,16225,77365
2006-11-09 09:00:00,16230,16300,16110,16245,74169
2006-11-10 09:00:00,16190,16295,16085,16085,79655
2006-11-13 09:00:00,16020,16080,15920,16005,72562
2006-11-14 09:00:00,16210,16330,16205,16305,66773
2006-11-15 09:00:00,16340,16390,16255,16280,62523
2006-11-16 09:00:00,16300,16380,16145,16175,60920
2006-11-17 09:00:00,16200,16250,16065,16075,77838
2006-11-20 09:00:00,16005,16040,15705,15705,82014
2006-11-21 09:00:00,15765,15830,15695,15695,67247
2006-11-22 09:00:00,15705,15905,15680,15865,63772
2006-11-24 09:00:00,15775,15785,15630,15730,71882
2006-11-27 09:00:00,15615,15910,15605,15885,70908
2006-11-28 09:00:00,15700,15865,15650,15855,75827
2006-11-29 09:00:00,15960,16130,15955,16095,74464
2006-11-30 09:00:00,16170,16310,16150,16310,74896
2006-12-01 09:00:00,16310,16380,16240,16340,70089
2006-12-04 09:00:00,16250,16360,16185,16235,81378
2006-12-05 09:00:00,16355,16400,16230,16290,73548
2006-12-06 09:00:00,16305,16400,16245,16400,75951
2006-12-07 09:00:00,16480,16550,16410,16485,51259
2006-12-08 09:00:00,16525,16525,16360,16385,79098
2006-12-11 09:00:00,16480,16620,16480,16580,77529
2006-12-12 09:00:00,16630,16700,16590,16670,92101
2006-12-13 09:00:00,16630,16700,16590,16695,66401
2006-12-14 09:00:00,16720,16850,16720,16850,61024
2006-12-15 09:00:00,16960,16975,16870,16920,76241
2006-12-18 09:00:00,16970,17005,16940,16965,56025
2006-12-19 09:00:00,16880,16965,16760,16810,91052
2006-12-20 09:00:00,16835,17065,16835,17005,96439
2006-12-21 09:00:00,17050,17120,17015,17060,94267
2006-12-22 09:00:00,17050,17115,17010,17110,70432
2006-12-25 09:00:00,17145,17145,17070,17085,66330
2006-12-26 09:00:00,17095,17215,17080,17190,61445
2006-12-27 09:00:00,17240,17280,17230,17265,57172
2006-12-28 09:00:00,17310,17315,17180,17245,82044
2006-12-29 09:00:00,17270,17300,17240,17265,31858
2007-01-04 09:00:00,17345,17390,17330,17360,33664
2007-01-05 09:00:00,17325,17335,17015,17080,104358
2007-01-09 09:00:00,16995,17290,16995,17260,117632
2007-01-10 09:00:00,17230,17235,16860,16950,147327
2007-01-11 09:00:00,16975,17080,16770,16870,145811
2007-01-12 09:00:00,16995,17180,16945,17085,121793
2007-01-15 09:00:00,17150,17290,17150,17255,82906
2007-01-16 09:00:00,17225,17310,17190,17235,84852
2007-01-17 09:00:00,17155,17365,17010,17270,152878
2007-01-18 09:00:00,17240,17430,17225,17385,145724
2007-01-19 09:00:00,17350,17400,17250,17335,120167
2007-01-22 09:00:00,17460,17495,17415,17430,72007
2007-01-23 09:00:00,17360,17450,17335,17435,107373
