datetime,open,high,low,close,volume
2006-07-18 09:00:00,14680,14715,14525,14560,6447
2006-07-18 10:00:00,14560,14640,14540,14615,4342
2006-07-18 11:00:00,14605,14605,14605,14605,30
2006-07-18 12:00:00,14600,14620,14525,14550,2671
2006-07-18 13:00:00,14545,14625,14480,14590,4202
2006-07-18 14:00:00,14590,14665,14450,14450,4120
2006-07-18 15:00:00,14455,14460,14400,14400,533
2006-07-19 09:00:00,14500,14600,14465,14470,5658
2006-07-19 10:00:00,14475,14625,14465,14625,4121
2006-07-19 11:00:00,14630,14630,14630,14630,23
2006-07-19 12:00:00,14630,14650,14540,14560,2449
2006-07-19 13:00:00,14560,14620,14505,14510,3541
2006-07-19 14:00:00,14510,14560,14475,14515,4135
2006-07-19 15:00:00,14515,14560,14500,14560,719
2006-07-20 09:00:00,14860,14870,14780,14850,5720
2006-07-20 10:00:00,14850,14920,14845,14885,3883
2006-07-20 11:00:00,14870,14870,14870,14870,51
2006-07-20 12:00:00,14890,14890,14825,14860,1779
2006-07-20 13:00:00,14865,14890,14840,14885,2059
2006-07-20 14:00:00,14880,14975,14870,14970,3082
2006-07-20 15:00:00,14965,14975,14950,14975,824
2006-07-21 09:00:00,14840,14875,14800,14850,4287
2006-07-21 10:00:00,14845,14860,14815,14820,2500
2006-07-21 11:00:00,14820,14820,14820,14820,25
2006-07-21 12:00:00,14835,14870,14800,14825,2702
2006-07-21 13:00:00,14820,14845,14805,14820,1946
2006-07-21 14:00:00,14825,14845,14790,14830,2582
2006-07-21 15:00:00,14830,14830,14810,14820,647
2006-07-24 09:00:00,14685,14700,14585,14615,4904
2006-07-24 10:00:00,14605,14635,14560,14610,3521
2006-07-24 11:00:00,14610,14610,14610,14610,20
2006-07-24 12:00:00,14615,14665,14575,14635,2478
2006-07-24 13:00:00,14640,14790,14640,14770,5647
2006-07-24 14:00:00,14770,14870,14750,14795,5039
2006-07-24 15:00:00,14805,14805,14765,14775,1032
2006-07-25 09:00:00,15000,15070,14990,15055,4557
2006-07-25 10:00:00,15060,15080,15030,15075,2657
2006-07-25 11:00:00,15080,15080,15080,15080,29
2006-07-25 12:00:00,15080,15100,15010,15020,2447
2006-07-25 13:00:00,15025,15055,14985,15030,2912
2006-07-25 14:00:00,15030,15045,15000,15015,2993
2006-07-25 15:00:00,15020,15045,15005,15045,1395
2006-07-26 09:00:00,15110,15125,15045,15065,4924
2006-07-26 10:00:00,15060,15070,15025,15040,3013
2006-07-26 11:00:00,15045,15045,15045,15045,46
2006-07-26 12:00:00,15055,15055,14930,14945,3316
2006-07-26 13:00:00,14940,14960,14905,14905,3476
2006-07-26 14:00:00,14910,14940,14880,14910,3678
